Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	7565033a-ea03-4f4b-8fc5-eb1516bb4f87
Plate Name	rech2ax53bp1270224
Measurement	Measurement 1
Evaluation	Evaluation5
Population	Population - Nuclei Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Nucleus Area [µm²]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Intensity Nucleus Alexa 488 Mean	Nuclei Selected - Intensity Nucleus DAPI Mean	Nuclei Selected - Intensity Ring Region DAPI Mean	Nuclei Selected - Total Spot Area	Nuclei Selected - Relative Spot Intensity	Nuclei Selected - Number of Spots	Nuclei Selected - Number of Spots per Area of Nucleus	Nuclei Selected - Total Spot Area (2)	Nuclei Selected - Relative Spot Intensity (2)	Nuclei Selected - Number of Spots (2)	Nuclei Selected - Number of Spots per Area of Nucleus (2)	
5	2	0	49	1	345	68	[293,32,436,152]	580.94	-529.27					6	246.046	0.516566	0.376909	2029.65	7109.07	4629.3	0	0	0	0	0	0	0	0	
5	2	0	49	2	235	99	[186,67,295,132]	558.23	-532.26					8	161.753	0.770759	0.442432	2352.1	5681.47	2396.98	260	0.0114097	5	0.00109433	303	0.0108371	6	0.0013132	
5	2	0	49	3	613	180	[577,158,637,202]	628.07	-547.56					9	71.6189	0.949923	0.687184	1619.46	7243.49	2968.03	0	0	0	0	0	0	0	0	
5	2	0	49	4	495	215	[462,185,529,247]	606.99	-554.18					10	106.632	0.946577	0.714146	2079.47	6741.6	1982.28	132	0.00183616	4	0.00132802	244	0.00497799	9	0.00298805	
5	2	0	49	5	731	220	[700,188,770,253]	651.91	-555.11					11	124.227	0.99571	0.766347	1512.58	5307.67	1523.24	132	0.0332706	4	0.00113993	338	0.0240117	12	0.00341978	
5	2	0	49	6	172	237	[140,205,204,277]	546.09	-558.92					12	120.545	0.996544	0.737141	2194.23	5790.99	1628.29	327	0.0461428	9	0.00264317	296	0.0284727	11	0.00323054	
5	2	0	49	7	449	242	[418,210,482,277]	597.97	-559.39					13	115.836	0.945767	0.811703	1915.79	6630.16	1818.85	0	0	0	0	79	0.00156144	3	0.00091687	
5	2	0	49	8	808	252	[776,220,840,308]	665.35	-563.36					14	158.496	0.878846	0.66734	2038.53	6221.57	2114	182	0.00231001	5	0.00111682	161	0.00218107	5	0.00111682	
5	2	0	49	9	711	287	[669,258,749,316]	647.06	-567.59					15	118.279	0.869397	0.564814	1982.62	5942.29	2546.76	104	0.00136234	3	0.000897935	90	0.00228052	3	0.000897935	
5	2	0	49	10	929	346	[901,319,956,373]	688.3	-578.67					16	80.0446	0.915043	0.840994	2131.57	7007.4	3753.24	0	0	0	0	0	0	0	0	
5	2	0	49	11	110	353	[79,321,142,411]	534.54	-582.31					17	160.514	0.938015	0.678184	2032.16	5271.03	1188.66	598	0.0129868	19	0.00419056	781	0.0199711	26	0.00573445	
5	2	0	49	12	545	356	[498,326,578,390]	614.5	-580.76					18	138.175	0.960519	0.710921	2086.85	7888.58	1862.36	598	0.0271534	17	0.00435562	895	0.0385197	30	0.0076864	
5	2	0	49	13	76	442	[45,410,109,479]	527.83	-597.11					19	124.51	0.962773	0.880728	1874.47	5697.92	1594.5	159	0.00602268	4	0.00113733	159	0.0054229	4	0.00113733	
5	2	0	49	14	1033	470	[986,440,1074,504]	707.36	-602.27					20	151.876	0.927304	0.63055	2052.12	9379.57	1786.79	212	0.00451333	7	0.0016317	537	0.0161195	12	0.0027972	
5	2	0	49	15	479	503	[446,471,512,549]	603.58	-609.22					21	136.688	0.959857	0.737427	2064.16	5633.84	1837.8	154	0.0293941	2	0.000518001	223	0.0196798	4	0.001036	
5	2	0	49	16	1021	532	[983,498,1064,563]	706.16	-613.4					22	143.238	0.892345	0.695691	2005.06	5266.78	1241.1	144	0.00152316	3	0.000741473	106	0.00103566	4	0.000988631	
5	2	0	49	17	924	556	[902,533,947,596]	687.47	-619.88					23	85.0009	0.879775	0.62871	1570.43	15996.6	5443.34	0	0	0	0	512	0.0147506	8	0.00333195	
