Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	2a5914c5-2b8b-4932-84dc-6bf33d939942
Plate Name	NADguanosineplate
Measurement	Measurement 1
Evaluation	Evaluation2
Population	Population - full nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - Intensity Nucleus Alexa 488 Mean	full nuclei -  Area [µm²]	full nuclei -  Roundness	full nuclei -  Width [µm]	full nuclei -  Length [µm]	full nuclei -  Ratio Width to Length	full nuclei - Number of Spots H2AX- per Cell 	
2	2	1	0	1	1	87	506	[53,484,116,528]	-135.24	10.41					1	95	0.019507	3	0.00143266	6479.47	185.66	0.73848	11.8658	19.7087	0.602058	3	
2	2	1	0	1	2	506	615	[480,589,538,659]	-8.85	-24.73					2	346	0.00883778	13	0.00457746	3739.67	251.802	0.882523	12.619	19.7087	0.640275	13	
2	2	1	0	1	3	613	796	[593,776,633,829]	21.77	-78.38					3	493	0.0352966	15	0.00881834	3244.81	150.815	0.929846	11.1889	15.7842	0.708866	15	
2	2	1	0	1	4	873	1032	[823,996,895,1064]	95.74	-145.57					4	427	0.019141	15	0.0048528	4271.45	274.056	0.787751	11.2364	22.9045	0.490574	15	
2	2	1	0	1	5	602	209	[575,185,636,232]	19.66	98.52					5	899	0.0502366	35	0.0154936	4892.04	200.289	0.947285	12.7448	18.1855	0.700823	35	
2	2	1	0	1	6	864	341	[813,297,906,391]	96.06	58.53					6	45	0.000497901	2	0.00033653	3297.03	526.922	0.83054	18.9542	27.7175	0.683834	2	
2	2	1	0	1	7	116	395	[87,368,142,421]	-126.11	43.64					7	677	0.0295272	15	0.00668747	4868.92	198.87	0.904563	14.1555	17.2317	0.821479	15	
2	2	1	0	1	8	318	427	[293,404,349,452]	-64.99	33.41					8	743	0.0338615	34	0.0163305	4815.73	184.596	0.958464	12.619	17.5175	0.720365	34	
2	2	1	0	1	9	785	431	[760,406,812,456]	73.45	32.16					9	20	0.000345958	1	0.000508647	3775.16	174.311	0.920481	12.7309	16.2656	0.782688	1	
2	2	1	0	1	10	156	433	[129,407,182,460]	-114.42	31.56					10	612	0.0308284	24	0.0109339	4661.93	194.615	0.959098	14.2926	16.5171	0.865321	24	
