Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	2ee00b9b-bd6c-4ff1-adc1-9612fffb1bf6
Plate Name	NAMPTi_060524
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei Selected Selected - Number of Objects	Nuclei Selected Selected - Nucleus Area [µm²] - Mean per Well	Nuclei Selected Selected - Nucleus Roundness - Mean per Well	Nuclei Selected Selected - Intensity Nucleus HOECHST 33342 Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	2	1	0	33995	160.781815421	0.95966020101	27109.7316737	21	0	0					
2	3	1	0	7184	130.636830252	0.955733350572	36430.5591957	21	0	0					
2	4	1	0	7134	130.690926325	0.955690762389	36225.2892732	21	0	0					
2	5	1	0	8775	142.025610771	0.950639371026	32797.8684049	21	0	0					
2	6	1	0	7703	141.223732666	0.955263331026	35129.8653111	21	0	0					
2	7	1	0	9147	138.267929729	0.950943152955	33067.5515309	21	0	0					
2	8	1	0	11301	152.687329978	0.948633826232	30573.8449951	21	0	0					
2	9	1	0	21240	163.330845791	0.954317693716	28637.9887146	21	0	0					
2	10	1	0	25058	163.912909768	0.947439898249	29797.7994223	21	0	0					
2	11	1	0	25014	163.38421526	0.947876933587	30119.1805397	21	0	0					
3	2	1	0	33790	159.769481232	0.959693748063	27808.5248186	21	0	0					
3	3	1	0	6878	138.068726139	0.954478157555	35485.9991361	21	0	0					
3	4	1	0	6739	135.87889512	0.955181470563	36017.075343	21	0	0					
3	5	1	0	10752	152.626940498	0.95114381745	30156.4655263	21	0	0					
3	6	1	0	7315	138.14892172	0.956164560964	34799.9820974	21	0	0					
3	7	1	0	8318	141.44066923	0.95413790172	32959.4076398	21	0	0					
3	8	1	0	11841	152.460053161	0.952280584275	29894.048123	21	0	0					
3	9	1	0	24699	157.693004255	0.958966617515	28227.9180409	21	0	0					
3	10	1	0	28978	161.196587807	0.952415272464	29164.3486288	21	0	0					
3	11	1	0	25896	166.485536651	0.947978825697	30041.0342019	21	0	0					
4	2	1	0	33591	160.937566559	0.956028151921	27942.8452248	21	0	0					
4	3	1	0	7696	124.817721442	0.955828029156	35613.1977034	21	0	0					
4	4	1	0	7096	125.171769869	0.956089050756	36237.4075313	21	0	0					
4	5	1	0	8039	132.185134524	0.957512337937	35554.1543516	21	0	0					
4	6	1	0	8204	133.615814801	0.956312752324	35091.1919143	21	0	0					
4	7	1	0	9635	139.843490407	0.954742143373	32720.1319374	21	0	0					
4	8	1	0	12239	150.610878752	0.952584382006	29747.7169992	21	0	0					
4	9	1	0	25361	158.796187173	0.958399565749	28024.3695271	21	0	0					
4	10	1	0	29426	160.038458355	0.956038737387	28822.0194313	21	0	0					
4	11	1	0	22200	164.111161	0.944944218787	30669.5997261	21	0	0					
5	2	1	0	40228	166.638606809	0.954831629725	27550.7093138	21	0	0					
5	3	1	0	8965	137.921450758	0.95262356306	35137.689766	21	0	0					
5	4	1	0	9291	136.285736861	0.953819763712	35472.292356	21	0	0					
5	5	1	0	8126	146.038180693	0.955824801728	33596.0240509	21	0	0					
5	6	1	0	10988	135.625818212	0.955933812275	34086.8657343	21	0	0					
5	7	1	0	13411	141.525015732	0.953625994821	31754.0273918	21	0	0					
5	8	1	0	17700	150.04541086	0.954489630652	29424.5790047	21	0	0					
5	9	1	0	32399	159.329009584	0.957415268819	28695.8966975	21	0	0					
5	10	1	0	40345	160.23416817	0.954630155732	28651.4887149	21	0	0					
5	11	1	0	28788	166.460815337	0.943352594645	30496.4165667	21	0	0					
6	2	1	0	38077	161.457145098	0.953314295433	28352.8343352	21	0	0					
6	3	1	0	9831	131.078345201	0.955799952525	35104.5049321	21	0	0					
6	4	1	0	9020	133.260419493	0.95585838754	35165.9197727	21	0	0					
6	5	1	0	8110	135.015123911	0.958370777043	33665.1288364	21	0	0					
6	6	1	0	10853	135.042452002	0.955016092232	34148.981439	21	0	0					
6	7	1	0	12692	142.5151793	0.953148892566	31843.9129308	21	0	0					
6	8	1	0	18171	149.795073543	0.952274557721	29537.3905446	21	0	0					
6	9	1	0	31302	162.159401211	0.955377868326	28795.5638981	21	0	0					
6	10	1	0	37484	163.370564933	0.949244926346	29535.3634237	21	0	0					
6	11	1	0	33149	162.862505915	0.948508189667	29582.3065905	21	0	0					
7	2	1	0	37899	160.251736823	0.953270051257	28734.6717821	21	0	0					
7	3	1	0	8461	138.31855936	0.953241293489	35098.5002416	21	0	0					
7	4	1	0	9083	139.827389868	0.951825480017	35568.1149829	21	0	0					
7	5	1	0	8450	138.726763879	0.950895205486	34217.4164466	21	0	0					
7	6	1	0	9951	144.417007265	0.951188098015	34448.5778631	21	0	0					
7	7	1	0	11886	145.800433113	0.95263724898	32208.4315704	21	0	0					
7	8	1	0	15518	152.016933991	0.950146563535	30607.9872538	21	0	0					
7	9	1	0	29082	157.707675188	0.95339975221	29885.0880218	21	0	0					
7	10	1	0	28240	165.278794711	0.942772852671	30679.6969067	21	0	0					
7	11	1	0	31799	162.342222506	0.948230936283	29776.6329416	21	0	0					
